service,zone,region,country,year,percentage
Potable water,Urban,Caribbean,Cuba,2000,89.73525477
Potable water,Urban,Caribbean,Cuba,2022,93.47854122
Sanitation,Rural,Caribbean,Cuba,2000,52.56521139
Sanitation,Rural,Caribbean,Cuba,2022,55.95234651
Sanitation,Urban,Caribbean,Cuba,2000,39.2362446
Sanitation,Urban,Caribbean,Cuba,2022,37.05638937
Potable water,Rural,Caribbean,Dominican Rep.,2000,62.268696
Potable water,Rural,Caribbean,Dominican Rep.,2022,84.85905647
Potable water,Urban,Caribbean,Dominican Rep.,2000,84.23342284
Potable water,Urban,Caribbean,Dominican Rep.,2022,97.7804092
Sanitation,Rural,Caribbean,Dominican Rep.,2000,57.97603931
Sanitation,Rural,Caribbean,Dominican Rep.,2022,47.58677042
Sanitation,Urban,Caribbean,Dominican Rep.,2000,49.08837939
Sanitation,Urban,Caribbean,Dominican Rep.,2022,42.27169556
Potable water,Rural,Caribbean,Haiti,2000,9.870581188
Potable water,Rural,Caribbean,Haiti,2022,7.437811125
Potable water,Urban,Caribbean,Haiti,2000,35.3429651
Potable water,Urban,Caribbean,Haiti,2022,8.130145384
Potable water,Rural,Caribbean,Jamaica,2000,73.02151304
Potable water,Rural,Caribbean,Jamaica,2022,72.44695876
Potable water,Urban,Caribbean,Jamaica,2000,93.46004391
Potable water,Urban,Caribbean,Jamaica,2022,93.32482645
Potable water,Rural,Caribbean,St. Lucia,2000,86.59277669
Potable water,Rural,Caribbean,St. Lucia,2022,94.40268793
Potable water,Urban,Caribbean,St. Lucia,2000,90.99908167
Potable water,Urban,Caribbean,St. Lucia,2022,93.62816228
Potable water,Rural,Caribbean,Saint Vincent and the Grenadines,2000,88.27543186
Potable water,Rural,Caribbean,Saint Vincent and the Grenadines,2018,93.11903495
Potable water,Urban,Caribbean,Saint Vincent and the Grenadines,2000,95.31515613
Potable water,Urban,Caribbean,Saint Vincent and the Grenadines,2018,98.14583113
Potable water,Rural,OECD high income non-LAC,,2022,98.58393757
Potable water,Urban,OECD high income non-LAC,,2022,99.59069351
Sanitation,Rural,OECD high income non-LAC,,2022,88.37765264
Sanitation,Urban,OECD high income non-LAC,,2022,95.04489669
