country,subregion,informalityRate,year,logGdpPerCapita,linearPrediction
Germany,Others,2.504,2022,11.10669994,11.42539692
Norway,Others,1.969,2020,11.1140976,11.24414539
Sweden,Others,3.266,2022,11.12855911,10.88982105
Belgium,Others,1.262,2022,11.13128757,10.82297039
Austria,Others,1.381,2022,11.17009354,9.87217617
Netherlands,Others,2.445,2022,11.21911526,8.67108345
Switzerland,Others,1.066,2021,11.30962372,6.453514576
Brunei Darussalam,Others,28.429,2023,11.36727142,5.041074753
Ireland,Others,1.8,2022,11.8042717,-5.665970802
Luxembourg,Others,1.545,2022,11.89448738,-7.876366138
Venezuela,South America,58.335,2017,,
Yemen,Others,77.407,2014,,
Cook Islands,Others,43.467,2023,,
Wallis and Futuna,Others,35.992,2019,,
