label,1980-1999,2000-2021
Floods,1.663588,2.048888136
Storms,0.74910325,2.002553864
Droughts,2.04147045,2.416287636
Extreme temperatures,0.002685,0.255538682
Forest fires,0.0087676,0.4754525
