mineral,chile,peru,brasil,mexico,argentina,bolivia,jamaica
Plata,6.15,11.92,0,24.23,3.23,5,0
Cobre,23.64,10,0,3.36,0,0,0
Litio,30,0,1.69,0,4.77,0,0
Estaño,0,9.35,5.81,0,0,5.81,0
Zinc,0,10.77,0,5.69,0,4,0
Bauxita,0,0,8.68,0,0,0,1.03
Grafito,0,0,6.69,0.15,0,0,0
Níquel,0,0,2.52,0,0,0,0
