service,zone,region,country,year,percentage
Agua potable,Rural,América del Sur,Surinam,2022,92.71123682
Agua potable,Urbana,América del Sur,Surinam,2000,95.81922757
Agua potable,Urbana,América del Sur,Surinam,2022,97.66185078
Saneamiento,Rural,América del Sur,Surinam,2000,37.38469185
Saneamiento,Rural,América del Sur,Surinam,2022,33.94891048
Saneamiento,Urbana,América del Sur,Surinam,2000,25.46538781
Saneamiento,Urbana,América del Sur,Surinam,2022,20.69352077
Agua potable,Rural,América del Sur,Uruguay,2000,74.808017
Agua potable,Rural,América del Sur,Uruguay,2022,95.30083
Agua potable,Urbana,América del Sur,Uruguay,2000,98.2680827
Agua potable,Urbana,América del Sur,Uruguay,2022,98.96462
Agua potable,Rural,Caribe,Cuba,2000,57.27753331
Agua potable,Rural,Caribe,Cuba,2022,91.83093652
Agua potable,Urbana,Caribe,Cuba,2000,89.73525477
Agua potable,Urbana,Caribe,Cuba,2022,93.47854122
Saneamiento,Rural,Caribe,Cuba,2000,52.56521139
Saneamiento,Rural,Caribe,Cuba,2022,55.95234651
Saneamiento,Urbana,Caribe,Cuba,2000,39.2362446
Saneamiento,Urbana,Caribe,Cuba,2022,37.05638937
Agua potable,Rural,Caribe,Rep. Dominicana,2000,62.268696
Agua potable,Rural,Caribe,Rep. Dominicana,2022,84.85905647
Agua potable,Urbana,Caribe,Rep. Dominicana,2000,84.23342284
Agua potable,Urbana,Caribe,Rep. Dominicana,2022,97.7804092
Saneamiento,Rural,Caribe,Rep. Dominicana,2000,57.97603931
Saneamiento,Rural,Caribe,Rep. Dominicana,2022,47.58677042
Saneamiento,Urbana,Caribe,Rep. Dominicana,2000,49.08837939
Saneamiento,Urbana,Caribe,Rep. Dominicana,2022,42.27169556
Agua potable,Rural,Caribe,Haití,2000,9.870581188
Agua potable,Rural,Caribe,Haití,2022,7.437811125
Agua potable,Urbana,Caribe,Haití,2000,35.3429651
Agua potable,Urbana,Caribe,Haití,2022,8.130145384
Agua potable,Rural,Caribe,Jamaica,2000,73.02151304
Agua potable,Rural,Caribe,Jamaica,2022,72.44695876
Agua potable,Urbana,Caribe,Jamaica,2000,93.46004391
Agua potable,Urbana,Caribe,Jamaica,2022,93.32482645
Agua potable,Rural,Caribe,Santa Lucía,2000,86.59277669
Agua potable,Rural,Caribe,Santa Lucía,2022,94.40268793
Agua potable,Urbana,Caribe,Santa Lucía,2000,90.99908167
Agua potable,Urbana,Caribe,Santa Lucía,2022,93.62816228
Agua potable,Rural,Caribe,San Vicente y las Granadinas,2000,88.27543186
Agua potable,Rural,Caribe,San Vicente y las Granadinas,2018,93.11903495
Agua potable,Urbana,Caribe,San Vicente y las Granadinas,2000,95.31515613
Agua potable,Urbana,Caribe,San Vicente y las Granadinas,2018,98.14583113
Agua potable,Rural,OCDE ingresos altos no ALyC,,2022,98.58393757
Agua potable,Urbana,OCDE ingresos altos no ALyC,,2022,99.59069351
Saneamiento,Rural,OCDE ingresos altos no ALyC,,2022,88.37765264
Saneamiento,Urbana,OCDE ingresos altos no ALyC,,2022,95.04489669
