skinColor,basicControlsCoef,basicControlsError,basicPlusEducationCoef,basicPlusEducationError
1,0.00,0.00,0.00,0.00
2,4.65,3.62,4.41,3.58
3,6.02,3.39,5.12,3.36
4,7.65,3.37,5.76,3.35
5,9.50,3.36,6.92,3.34
6,9.92,3.38,6.72,3.36
7,11.48,3.47,7.95,3.45
8,13.18,3.62,9.44,3.60
9,14.07,3.80,10.12,3.78
10,13.00,4.08,8.85,4.07
