country,eplex
Bolivia,0.55
St. Lucia,0.49
Mexico,0.47
Venezuela,0.45
Panama,0.45
Honduras,0.41
Peru,0.37
Antigua and Barbuda,0.36
Chile,0.36
El Salvador,0.33
Argentina,0.32
Guatemala,0.30
Brazil,0.23
Costa Rica,0.18
Europe,0.48
Asia,0.42
Africa,0.40
Latin America and the Caribbean,0.38
Arab Countries,0.32
North America,0.26
