country,rate
Haiti,91.61
Bolivia,84.47
Guatemala,83.19
Honduras,82.61
Nicaragua,81.79
Peru,71.65
Ecuador,68.15
Paraguay,66.84
El Salvador,66.50
Barbados,61.97
Venezuela,58.34
Mexico,56.33
Panama,56.13
Colombia,55.92
Dominican Rep.,55.68
Jamaica,54.64
Suriname,52.11
Latin America and the Caribbean,51.82
Guyana,51.17
Grenada,51.06
Argentina,50.45
Costa Rica,37.10
Brazil,37.04
St. Lucia,30.35
Chile,27.36
Uruguay,26.44
Bahamas,18.36
