1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,country
7305.906698,7223.506182,7872.946777,8286.805987,8339.532114,8650.361548,9004.350734,9638.686035,10121.87576,10558.35019,10883.10839,10985.81658,11315.10164,11006.71279,11135.70139,12023.86616,12958.15751,13744.38348,14005.65116,13954.82709,14921.1269,15189.80736,15404.80218,15955.13331,16872.29523,17826.54876,18793.74626,19449.7377,20579.19366,21387.73613,19736.80423,21923.30194,22761.26668,23084.4568,Dominican Rep.
9114.354263,9295.166429,9293.46153,9290.75217,9503.002378,9537.178942,9526.391528,9762.407842,9906.231936,9275.287817,9217.294923,9441.23576,9735.909611,9843.102509,10334.27664,10705.96698,10980.11114,10998.40001,11522.38826,11453.76158,11719.05254,12505.97285,13018.90831,13745.47157,14115.38732,13924.68765,13623.90731,14214.77889,14094.17937,13850.4502,12394.9733,13452.00877,14122.87532,14304.92185,Ecuador
8971.034368,9030.507472,8840.040182,8570.772759,8631.361214,8740.108791,9059.585255,9450.601301,10496.63736,11155.29326,11634.23167,11345.54067,11703.53666,12751.18864,12578.86463,14153.48173,13498.14176,14230.20023,14268.86865,13234.50998,13075.64944,13074.86891,12813.04701,12998.45296,13831.34988,14598.07941,15019.52138,15562.30412,16118.80834,16110.69776,13788.90665,14325.55485,15272.80785,15912.8118,Grenada
7541.435456,7609.880579,7771.398537,7873.193161,7989.30065,8181.482429,8223.492237,8382.362844,8595.497198,8717.153886,8814.57062,8806.058554,8936.422434,8967.521887,9054.360061,9158.750865,9455.331309,9857.858845,9988.146201,9848.764552,9948.423694,10175.82428,10293.91563,10488.3309,10766.68196,11019.3001,11128.32128,11285.85923,11485.07004,11761.56331,11376.56947,12106.42254,12424.771,12679.08215,Guatemala
5095.52616,5426.139914,5840.014332,6298.916881,6814.869688,7137.350073,7685.920011,8143.238858,7990.78221,8213.027058,8089.950029,8266.10753,8354.080276,8298.65506,8429.921824,8273.236658,8713.012618,9362.375625,9556.657605,9939.914498,10397.30342,10991.97989,11576.05946,11943.52736,12085.20897,12105.17193,12498.92726,12894.94595,13085.91836,13557.88299,19490.64979,23176.1332,37684.24177,49811.78721,Guyana
4363.308862,4101.86951,4230.614331,4380.783132,4268.844407,4408.361957,4367.813394,4444.053049,4483.617068,4334.630639,4525.37226,4525.464574,4573.601066,4660.746618,4829.489449,4999.015031,5203.100962,5400.100991,5505.424216,5257.645887,5341.763136,5436.289005,5551.374537,5599.173682,5664.708128,5776.763537,5896.159959,6075.083699,6201.726023,6254.460688,5602.088721,6209.94035,6371.470364,6499.473576,Honduras
3905.96933,3900.170645,3621.462966,3359.603838,2902.729723,3130.967758,3200.493656,3227.016261,3237.81412,3265.591631,3234.39695,3165.938365,3143.901398,3197.698127,3103.004623,3145.539097,3147.840227,3241.92721,3274.42609,3411.931977,3182.397589,3307.201927,3273.106288,3363.857483,3410.664145,3408.972773,3422.136902,3459.702823,3469.851995,3364.836601,3211.494757,3114.963542,3026.240618,2934.432582,Haiti
8697.749514,9043.569476,9134.422489,9895.091309,9930.535817,10061.87018,9957.092297,9758.544537,9450.779563,9477.316224,9502.275765,9581.656633,9725.469795,10033.42178,10116.63859,10158.10491,10402.8692,10506.67254,10382.36597,9890.991081,9705.882895,9829.703705,9721.072996,9724.491466,9751.436968,9806.422982,9912.020058,9990.604365,10166.89687,10250.55026,9211.849012,9610.989337,10113.96646,10343.18547,Jamaica
14261.88653,14028.39745,14499.23278,15281.09266,15879.00702,16517.88935,17261.10338,18202.89037,17879.20827,18209.93105,19758.37758,20558.95186,20714.91151,19828.53682,20554.99162,22485.57621,23120.23015,23189.33578,25704.47334,24767.56111,24717.29517,25022.91481,24815.20947,26210.14728,28127.7171,28322.36892,29437.43558,29504.32719,30110.57693,30994.88682,26274.33991,26420.33638,29169.25972,30108.18814,St. Kitts and Nevis
16325.94152,16163.84471,17192.90633,17040.05337,17086.38585,17181.17211,17497.13547,17209.6985,18128.2042,18447.56639,18312.60972,17568.00647,17509.7857,18116.77043,19292.34818,19079.9417,20130.05349,20342.51238,21215.33826,20480.0822,20397.77151,21130.79257,20988.44884,20466.66571,20679.71522,20604.29624,21215.15225,21839.29828,22378.17289,22145.30792,16657.72977,18651.8732,21998.04571,22650.16745,St. Lucia
