countryRegionGroup,averageCountry,averageRegion,averageGroup
Antígua e Barbuda,116.276,,
Honduras,100.839,,
Nicarágua,100.639,,
Belize,99.681,,
Panamá,81.752,,
México,80.057,,
El Salvador,78.176,,
Barbados,74.457,,
Bermudas,74.405,,
Bahamas,74.252,,
Paraguai,72.087,,
Costa Rica,68.929,,
Chile,62.461,,
Bolívia,57.440,,
Equador,52.117,,
Uruguai,51.879,,
Rep. Dominicana,50.657,,
Peru,50.543,,
Guatemala,47.994,,
Colômbia,39.461,,
Haiti,38.107,,
Brasil,33.399,,
Argentina,30.858,,
Europa e Ásia Central,,85.830,
Oriente Médio e Norte da África,,68.773,
África Subsaariana,,56.718,
Leste Asiático e Pacífico,,56.344,
América Latina e Caribe,50.374,,
Sul da Ásia,,41.462,
América do Norte,,29.165,
União Europeia,,,94.298
Países de alta renda,,,61.435
OCDE,,,57.101
Países menos desenvolvidos,,,51.739
