intrarregionalTrade,averageIntraRegionalEffectiveTariff,averageEffectiveTotalTariff
Europa e Ásia Central,1.77,1.89
Leste Asiático e Pacífico,2.21,2.86
América do Norte,0.51,1.53
África Subsaariana,2.67,8.43
Oriente Médio e Norte da África,4.18,4.31
América Latina e Caribe,7.75,5.88
Sul da Ásia,11.9,11.15
