country,average,index
Argentina,,3.6
Barbados,,2.7
Bolívia,,3.4
Brasil,,3.8
Chile,,3.3
Colômbia,,3.3
Costa Rica,,4.1
Equador,,3.1
El Salvador,,3.2
Guatemala,,3
Haiti,,1.8
Honduras,,3.6
Jamaica,,3.8
México,,3.8
Nicarágua,,2.9
Panamá,,3.8
Paraguai,,3.2
Peru,,3.1
Rep. Dominicana,,3.7
T&T,,3
Uruguai,,3.8
Venezuela,,2.9
América Latina e Caribe,3.313636364,
OCDE,4.485714286,
