country,oecd,latinAmericaAndCaribbean
Nova Zelândia,43,
Canadá,42,
Reino Unido,42,
Colômbia,,40
Irã,40,
Eslovênia,39,
Israel,39,
Noruega,38,
Turquia,38,
Coreia do Sul,37,
Dinamarca,36,
Espanha,36,
EUA.,36,
Islândia,36,
Suécia,36,
Áustria,35,
Grécia,35,
Lituânia,35,
Peru,,34
Bélgica,34,
França,34,
Letônia,34,
Chile,,33
Itália,33,
Polônia,33,
Trinidad e Tobago,,32
Austrália,32,
Japão,32,
Argentina,,31
Brasil,,31
Jamaica,,31
México,,31
Alemanha,31,
Finlândia,31,
Portugal,31,
Rep. Tcheca,31,
Antígua e Barbuda,,29
Dominica,,29
São Vicente e Granadinas,,29
Santa Lúcia,,29
Estônia,29,
Países Baixos,29,
Bahamas,,28
Guiana,,28
Panamá,,28
Eslováquia,28,
Hungria,27,
Luxemburgo,27,
São Cristóvão e Névis,,26
Granada,,25
Suíça,25,
Costa Rica,,24
Equador,,22
Honduras,,21
Barbados,,19
Bolívia,,19
El Salvador,,18
Paraguai,,17
Rep. Dominicana,,17
Guatemala,,15
Uruguai,,15
Belize,,14
Suriname,,14
Nicarágua,,12
Venezuela,,12
Haiti,,9
OCDE,34.1,
América Latina e Caribe,,23.65
