country,rate
Haiti,91.61
Bolívia,84.47
Guatemala,83.19
Honduras,82.61
Nicarágua,81.79
Peru,71.65
Equador,68.15
Paraguai,66.84
El Salvador,66.50
Barbados,61.97
Venezuela,58.34
México,56.33
Panamá,56.13
Colômbia,55.92
Rep. Dominicana,55.68
Jamaica,54.64
Suriname,52.11
América Latina e Caribe,51.82
Guiana,51.17
Granada,51.06
Argentina,50.45
Costa Rica,37.10
Brasil,37.04
Santa Lúcia,30.35
Chile,27.36
Uruguai,26.44
Bahamas,18.36
