mineral,chile,peru,brasil,mexico,argentina,bolivia,jamaica
Silver,6.15,11.92,0,24.23,3.23,5,0
Copper,23.64,10,0,3.36,0,0,0
Lithium,30,0,1.69,0,4.77,0,0
Tin,0,9.35,5.81,0,0,5.81,0
Zinc,0,10.77,0,5.69,0,4,0
Bauxite,0,0,8.68,0,0,0,1.03
Graphite,0,0,6.69,0.15,0,0,0
Nickel,0,0,2.52,0,0,0,0
