mineral,chile,peru,brasil,mexico,argentina,bolivia,jamaica
Silver,4.73,17.82,0,6.73,1.18,4,0
Copper,21.35,9.10,0,5.96,0,0,0
Lithium (resources),11.22,0.90,0.74,1.73,20.41,21.43,0
Lithium,35.77,0,0.96,0,10.38,0,0
Tin,0,2.83,9.13,0,0,8.70,0
Zinc,0,8.10,0,5.71,0,0,0
Bauxite,0,0,8.71,0,0,0,6.45
Graphite,0,0,22.42,0.94,0,0,0
Nickel,0,0,16,0,0,0,0
