country,average,index
Argentina,,3.6
Barbados,,2.7
Bolivia,,3.4
Brasil,,3.8
Chile,,3.3
Colombia,,3.3
Costa Rica,,4.1
Ecuador,,3.1
El Salvador,,3.2
Guatemala,,3
Haití,,1.8
Honduras,,3.6
Jamaica,,3.8
México,,3.8
Nicaragua,,2.9
Panamá,,3.8
Paraguay,,3.2
Perú,,3.1
Rep. Dominicana,,3.7
Trinidad y Tobago,,3
Uruguay,,3.8
Venezuela,,2.9
América Latina y el Caribe,3.313636364,
OCDE,4.485714286,
