countryRegionGroup,averageCountry,averageRegion,averageGroup
Bahamas,26.65,,
Argentina,14.15,,
Brasil,12.49,,
Belice,11.82,,
Barbados,11.64,,
Uruguay,10.88,,
Ecuador,10.83,,
Bolivia,9.67,,
Paraguay,9.62,,
Jamaica,9.42,,
Trinidad y Tobago,8.75,,
Guatemala,6.27,,
México,6,,
Chile,5.91,,
Panamá,5.87,,
Colombia,5.28,,
Rep. Dominicana,4.4,,
El Salvador,3.11,,
Nicaragua,2.97,,
Costa Rica,2.62,,
Perú,2.58,,
Honduras,1.64,,
Asia Meridional,,12.63,
África Subsahariana,,11.22,
América Latina y el Caribe,6.96,,
Asia Oriental y el Pacífico,,4.68,
Oriente Medio y Norte de África,,4.65,
Norteamérica,,3.19,
Europa y Asia Central,,2.79,
Menos desarrollados (OMC),,,12.16
En desarrollo (OMC),,,7.17
OCDE,,,2.97
Altos ingresos,,,2.77
Unión Europea,,,1.89
