country,rate
Haití,91.61
Bolivia,84.47
Guatemala,83.19
Honduras,82.61
Nicaragua,81.79
Perú,71.65
Ecuador,68.15
Paraguay,66.84
El Salvador,66.50
Barbados,61.97
Venezuela,58.34
México,56.33
Panamá,56.13
Colombia,55.92
Rep. Dominicana,55.68
Jamaica,54.64
Surinam,52.11
América Latina y el Caribe,51.82
Guyana,51.17
Granada,51.06
Argentina,50.45
Costa Rica,37.10
Brasil,37.04
Santa Lucía,30.35
Chile,27.36
Uruguay,26.44
Bahamas,18.36
