intrarregionalTrade,intrarregionalExportsPercentTotal,intrarregionalImportsPercentTotal
Europa y Asia Central,70.71,64.41
Asia Oriental y el Pacífico,48.22,51.92
Norteamérica,30.63,18.57
África Subsahariana,19.64,13.40
Oriente Medio y Norte de África,15.23,12.07
América Latina y el Caribe,15.08,14.46
Asia Meridional,7.19,2.52
