country,eplex,informalityRate
Bolivia,0.548,84.471
Santa Lucía,0.487,30.347
México,0.471,56.333
Venezuela,0.452,58.335
Panamá,0.445,56.127
Honduras,0.410,82.612
Perú,0.374,71.648
Chile,0.357,27.355
El Salvador,0.329,66.495
Argentina,0.318,50.445
Guatemala,0.300,83.189
Brasil,0.225,37.035
Costa Rica,0.179,37.102
