intrarregionalTrade,averageIntraRegionalEffectiveTariff,averageEffectiveTotalTariff
Europa y Asia Central,1.77,1.89
Asia Oriental y el Pacífico,2.21,2.86
Norteamérica,0.51,1.53
África Subsahariana,2.67,8.43
Oriente Medio y Norte de África,4.18,4.31
América Latina y el Caribe,7.75,5.88
Asia Meridional,11.9,11.15
