label,1980-1999,2000-2021
Inundaciones,1.663588,2.048888136
Tormentas,0.74910325,2.002553864
Sequías,2.04147045,2.416287636
Temperaturas extremas,0.002685,0.255538682
Incendios forestales,0.0087676,0.4754525
