country,index,region
Albânia,1.43,Outros países
Argélia,0.92,Outros países
Angola,0.92,Outros países
Antígua e Barbuda,0.77,Caribe
Argentina,1.54,América Latina
Armênia,1.44,Outros países
Austrália,1.84,OCDE
Áustria,1.79,OCDE
Azerbaijão,1.3,Outros países
Bahamas,0.72,Caribe
Bahrein,1.28,Outros países
Bangladesh,1.06,Outros países
Barbados,0.74,Caribe
Belarus,0.69,Outros países
Bélgica,1.8,OCDE
Belize,0.54,Caribe
Benin,0.99,Outros países
Butão,0.66,Outros países
Bolívia,0.92,América Latina
Bósnia e Herzegovina,1.24,Outros países
Botsuana,1.18,Outros países
Brasil,1.58,América Latina
Brunei Darussalam,1.38,Outros países
Bulgária,1.69,Outros países
Burkina Faso,0.64,Outros países
Burundi,0.53,Outros países
Camboja,1.24,Outros países
Camarões,1.02,Outros países
Canadá,1.8,OCDE
Rep. Centro-Africana,0.63,Outros países
Chade,0.43,Outros países
Chile,1.62,América Latina
China,1.61,Outros países
Taipei Chinês,1.61,Outros países
Colômbia,1.64,América Latina
Comores,0.44,Outros países
Congo,0.85,Outros países
Costa Rica,1.63,América Latina
Croácia,1.79,Outros países
Cuba,1.09,Caribe
Chipre,1.79,Outros países
República Tcheca,1.71,OCDE
Costa do Marfim,0.81,Outros países
República Democrática do Congo (RDC),0.6,Outros países
Dinamarca,1.82,OCDE
Djibuti,0.38,Outros países
Dominica,0.95,Caribe
Rep. Dominicana,1.36,Caribe
Equador,1.22,América Latina
Egito,1.2,Outros países
El Salvador,1.41,América Latina
Estônia,1.82,OCDE
Esuatini,0.85,Outros países
Etiópia,0.78,Outros países
Fiji,1.09,Outros países
Finlândia,1.83,OCDE
França,1.81,OCDE
Gabão,0.58,Outros países
Gâmbia,0.77,Outros países
Geórgia,1.61,Outros países
Alemanha,1.78,OCDE
Gana,0.94,Outros países
Grécia,1.67,OCDE
Guatemala,1.31,América Latina
Honduras,1.08,América Latina
"Hong Kong, China",1.88,Outros países
Hungria,1.62,OCDE
Islândia,1.66,OCDE
Índia,1.55,Outros países
Indonésia,1.42,Outros países
Irã,1.79,OCDE
Israel,1.6,OCDE
Itália,1.72,OCDE
Jamaica,0.89,Caribe
Japão,1.86,OCDE
Jordânia,1.01,Outros países
Cazaquistão,1.28,Outros países
Quênia,1.34,Outros países
Kiribati,0.46,Outros países
Coreia do Sul,1.88,OCDE
Kuwait,1.01,Outros países
Quirguistão,1.05,Outros países
Laos,0.91,Outros países
Letônia,1.73,OCDE
Líbano,0.92,Outros países
Lesoto,0.84,Outros países
Libéria,0.69,Outros países
Lituânia,1.77,OCDE
Luxemburgo,1.82,OCDE
Madagascar,1.0,Outros países
Malawi,0.9,Outros países
Malásia,1.56,Outros países
Maldivas,0.92,Outros países
Mali,0.92,Outros países
Malta,1.69,Outros países
Maurício,1.66,Outros países
México,1.66,América Latina
Micronésia,0.46,Outros países
Moldova,1.11,Outros países
Mongólia,1.19,Outros países
Montenegro,1.35,Outros países
Marrocos,1.59,Outros países
Moçambique,0.9,Outros países
Myanmar,1.09,Outros países
Namíbia,0.96,Outros países
Nepal,0.7,Outros países
Países Baixos,1.87,OCDE
Nova Zelândia,1.81,OCDE
Nicarágua,1.32,América Latina
Níger,0.72,Outros países
Nigéria,0.93,Outros países
Macedônia do Norte,1.39,Outros países
Noruega,1.86,OCDE
Omã,1.71,Outros países
Paquistão,1.35,Outros países
Palau,0.55,Outros países
Panamá,1.56,América Latina
Papua Nova Guiné,1.08,Outros países
Paraguai,1.21,América Latina
Peru,1.57,América Latina
Filipinas,1.37,Outros países
Polônia,1.8,OCDE
Portugal,1.83,OCDE
Catar,1.43,Outros países
Romênia,1.62,Outros países
Rússia,1.69,Outros países
Ruanda,1.01,Outros países
Samoa,0.87,Outros países
Arábia Saudita,1.37,Outros países
Senegal,1.21,Outros países
Sérvia,1.35,Outros países
Serra Leoa,0.53,Outros países
Cingapura,1.85,Outros países
Rep. Eslovaca,1.69,OCDE
Eslovênia,1.77,OCDE
Ilhas Salomão,0.63,Outros países
África do Sul,1.63,Outros países
Espanha,1.81,OCDE
Sri Lanka,1.07,Outros países
Sudão do Sul,0.54,Outros países
Suriname,0.46,Caribe
Suécia,1.85,OCDE
Suíça,1.8,OCDE
Tajiquistão,1.04,Outros países
Tanzânia,0.96,Outros países
Tailândia,1.51,Outros países
Togo,0.82,Outros países
Tonga,0.81,Outros países
T&T,1.14,Caribe
Tunísia,1.26,Outros países
Turquia,1.63,OCDE
Uganda,0.95,Outros países
Ucrânia,1.08,Outros países
Emirados Árabes Unidos,1.48,Outros países
Reino Unido,1.82,OCDE
EUA.,1.85,OCDE
Uruguai,1.54,América Latina
Uzbequistão,0.85,Outros países
Vanuatu,1.23,Outros países
Venezuela,0.71,América Latina
Vietnã,1.47,Outros países
Iêmen,0.31,Outros países
Zâmbia,0.85,Outros países
Zimbábue,0.91,Outros países
